name;url;family;current_class;probable_class;priority;notes
Localización Paseo Sarasate;https://visitpamplonairuna.com/planifica-tu-viaje/como-llegar;planifica;Unknown;;;
Nafarroako Bertsolari Txapelketa;https://visitpamplonairuna.com/invierno-en-pamplona-que-hacer;invierno-en-pamplona-que-hacer;Unknown;;;
Pump Track Pamplona;https://visitpamplonairuna.com/en/lugar/pump-track;en_lugar_detail;Unknown;;;
Skate Park Antoniutti;https://visitpamplonairuna.com/en/lugar/skate-park-antoniutti;en_lugar_detail;Unknown;;;
Ajoarriero Navarro;https://visitpamplonairuna.com/en/lugar/ajoarriero;en_lugar_detail;Unknown;;;
Paderborn El Servicio;https://visitpamplonairuna.com/area-profesional;institutional_programmatic;Unknown;;;
Turismo Cultural Profesional;https://visitpamplonairuna.com/profesional;profesional;Unknown;;;
Visitas en familia;https://visitpamplonairuna.com/tipo-lugar/visitas-en-familia;tipo_lugar;Unknown;;;
Actividades deportivas;https://visitpamplonairuna.com/tipo-lugar/deporte;tipo_lugar;Unknown;;;
Sidrerías en Pamplona;https://visitpamplonairuna.com/planifica-tu-viaje/donde-comer/sidrerias;planifica;Unknown;;;
